_id,FACILITY_ID,FACILITY_NAME,FA_ADDRESS_GIVEN,FA_POSTAL_CODE,FA_LAT,FA_LON,NAICS_CODE_6,NAICS_CODE_6_DESC_ENG,EMPLOYEE_COUNT,WEB_SITE,PC_FULL_NAME,PHONE_NO,PC_JOB_TITLE,PC_PHONE_NO,PC_PHONE_NO_EXT,PC_FAX_NO,CHEMICAL_ID,CHEMICAL_NAME,USE_MANUFACTURED,USE_PROCESSED,USE_OTHER_USE,REL_AIR,REL_LAND,REL_WATER,REL_DISPOSAL,REL_RECYCLING
12,23033,Blue Bonnet Cleaners,1379 Wilson Ave,M3M 1H7,43.7229,-79.4985,812320,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),5,,Sam Scimemi,416-249-4331,Owner,416-249-4331,,,19,Tetrachloroethylene (Perchloroethylene),0,0,590,308,0,0,0,0
13,23054,KIK Operating Partnership,2000 Kipling Avenue,M9W 4J6,43.71,-79.5659,325610,Soap & Cleaning Compound Mfg.,298,,Kimberly Clark,416-740-7400,Manager Of EHS,416-740-7400,,,25,Volatile Organic Compounds (VOCs) Total,0,33734,0,733,0,0,0,0
14,23073,Canadian Linen Uniform Service Co,75 Norfinch Drive,M3N 1W8,43.7596,-79.5289,812330,Linen & Uniform Supply,130,,Andrew Steiner,416-849-5100,Sr VP Of Canadian Operations,416-354-3100,,,25,Volatile Organic Compounds (VOCs) Total,153,0,0,153,0,0,0,0
15,23147,Cintas Canada limited,3370 Dundas Street West,M6S 2S1,43.6656,-79.4832,812330,Linen & Uniform Supply,161,,Michael Labocha,416-763-4400,Env Engineer,647-468-7025,,,25,Volatile Organic Compounds (VOCs) Total,66,0,2136,2018,0,0,0,0
16,23174,Kilian Canada ULC,75 Torlake Crescent,M8Z 1B7,43.613,-79.5269,332991,Ball & Roller Bearing Mfg.,40,,Wolney Rodrigues,416-252-5936,Plant Manager,289-806-6579,,,9,"Chromium, Non-Hexavalent and its compounds",0,1622,0,0,0,0,0,0
17,23186,Platis Custom 1 Hr Cleaners,16 Yonge St,M5E 2A1,43.6434,-79.3755,812320,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),3,,Bloomin Maraj,416-324-8980,Owner,416-324-8980,,,19,Tetrachloroethylene (Perchloroethylene),0,0,1255,423,0,0,0,0
18,23278,Avenue Collision Inc,293 MacPherson Ave,M4V 1A4,43.6771,-79.4017,811121,"Automotive Body, Paint & Interior R&M",12,,Enzo Armata,416-923-8031,Controller,416-259-6344,,416-259-6344,23,Nitrogen Oxides (NOx),110,0,0,104,0,0,0,0
19,23302,Apotex 400 Ormont,400  Ormont Drive,M9L 1N9,43.7654,-79.5427,325410,Pharmaceutical & Medicine Mfg.,51,,Michael Taniguchi,416-749-9300,Associate Director EHS Programs,647-262-6903,,,25,Volatile Organic Compounds (VOCs) Total,335,0,0,335,0,0,0,0
20,23321,Assured Scarborough West,20 Continental Place,M1R 2T4,43.7637,-79.3004,811121,"Automotive Body, Paint & Interior R&M",19,,Kim Miller,416-751-1102,Director Env Health and Safety,877-743-7237,,,25,Volatile Organic Compounds (VOCs) Total,0,0,154,154,0,0,0,0
21,23338,Network Materials  Resources Inc,31 Golden Gate Court,M1P 3A4,43.7714,-79.2642,562210,Waste Treatment & Disposal,1,,Mike Aston,416-299-0116,General Manager,416-299-0116,,416-299-9649,18,Nickel and its compounds,0,10456,0,0,0,0,0,0
22,23366,Woodbridge Collision,1927 Albion Rd,M9W 5S8,43.7466,-79.6205,811121,"Automotive Body, Paint & Interior R&M",5,,Erasmo Ciufo,416-675-6332,Manager,416-675-6332,,416-675-7468,24,Particulate Matter 2.5 (PM2.5),421,0,0,421,0,0,0,0
23,23473,Martino Brothers Airport Company,606 Dixon Road,M9W 1J1,43.6912,-79.5732,811121,"Automotive Body, Paint & Interior R&M",12,,Vince Martino,416-248-5211,President,416-248-5211,,416-235-1875,24,Particulate Matter 2.5 (PM2.5),126,0,0,126,0,0,0,0
24,23501,Academy Auto Collision,2207 Jane Street,M3M 1A5,43.7231,-79.5091,811121,"Automotive Body, Paint & Interior R&M",4,,Mark Bonacci,416-247-7821,President,416-247-7821,,416-247-7825,24,Particulate Matter 2.5 (PM2.5),126,0,0,19,0,0,0,0
25,23501,Academy Auto Collision,2207 Jane Street,M3M 1A5,43.7231,-79.5091,811121,"Automotive Body, Paint & Interior R&M",4,,Mark Bonacci,416-247-7821,President,416-247-7821,,416-247-7825,25,Volatile Organic Compounds (VOCs) Total,0,0,217,193,0,0,0,0
26,23509,Venture Steel Inc,60 Disco Rd,M9W 1L9,43.7016,-79.5935,331221,Cold-Rolled Steel Shape Mfg.,200,,Claudio Cortina,416-798-9396,VP Of Operations,416-798-9396,345,416-798-9832,25,Volatile Organic Compounds (VOCs) Total,0,0,202,202,0,0,0,0
27,23514,SC Electric Canada Ltd,90 Belfield Road,M9W 1G4,43.703,-79.5713,335315,"Switchgear, Relay & Industrial Control Mfg.",360,,Laura Cudizio,416-249-9171,Manager Health Safety Envt,416-249-9171,3288,,9,"Chromium, Non-Hexavalent and its compounds",0,18573,0,0,0,0,0,0
28,23526,Tradition Fine Foods Ltd,663 Warden Avenue,M1L 3Z5,43.703,-79.2772,311814,Commercial Bakeries & Frozen Product Mfg.,396,,Pranav Phadke,416-444-4777,Facility Maintenance Manager,416-444-4777,,,23,Nitrogen Oxides (NOx),800,0,0,800,0,0,0,0
29,23551,Western Collision,500 Garyray Drive,M9L 1P8,43.7667,-79.5507,811121,"Automotive Body, Paint & Interior R&M",5,,Carlo Polsinelli,416-749-5200,President,416-749-5200,,416-749-8119,25,Volatile Organic Compounds (VOCs) Total,0,0,278,254,0,0,0,0
30,23569,Mondelez Canada Inc Gladstone Plant,277 Gladstone Avenue,M6J 3L9,43.6515,-79.4305,311330,Confectionery Mfg. from Purchased Chocolate,420,,Omar A Awam,416-530-4055,HSE Manager,437-332-2349,,,24,Particulate Matter 2.5 (PM2.5),972,0,0,972,0,0,0,0
31,23569,Mondelez Canada Inc Gladstone Plant,277 Gladstone Avenue,M6J 3L9,43.6515,-79.4305,311330,Confectionery Mfg. from Purchased Chocolate,420,,Omar A Awam,416-530-4055,HSE Manager,437-332-2349,,,23,Nitrogen Oxides (NOx),3584,0,0,3584,0,0,0,0
32,23569,Mondelez Canada Inc Gladstone Plant,277 Gladstone Avenue,M6J 3L9,43.6515,-79.4305,311330,Confectionery Mfg. from Purchased Chocolate,420,,Omar A Awam,416-530-4055,HSE Manager,437-332-2349,,,25,Volatile Organic Compounds (VOCs) Total,490,1577,0,1400,0,0,0,0
33,23715,Upper Crust Ltd,55 Canarctic Dr,M3J 2N7 ,43.7752,-79.4916,311225,Fat & Oil Refining & Blending,108,,Yuri Kapustin,416-891-7229,Plant manager,416-891-7229,,,23,Nitrogen Oxides (NOx),436,0,0,436,0,0,0,0
34,23827,Bohne Spring Industries Limited,60 Coronet Road,M8Z 2M1,43.6231,-79.5481,332611,Spring (Heavy Gauge) Mfg.,43,,Murray Decaire,416-231-9000,Controller,416-231-9000,,,24,Particulate Matter 2.5 (PM2.5),51,0,0,0,0,0,0,0
35,23836,Wing's Food Products,550 Kipling Avenue,M8Z 5E9,43.6146,-79.5238,311990,All Other Food Mfg.,30,,Norel Covaci,416-259-0202,Sr Eng Manager,416-259-0202,,416-792-3183,24,Particulate Matter 2.5 (PM2.5),86,0,0,86,0,0,0,0
36,23905,Owens Corning Insulating Systems Canada LP,3450 McNicoll Avenue,M1V 1Z5,43.8216,-79.2591,327990,All Other Non-Metallic Mineral Product Mfg.,140,,Jacquelyn Desloges,416-412-8362,Environmental Leader,416-412-8362,,,24,Particulate Matter 2.5 (PM2.5),79413,0,0,79413,0,0,0,0
37,23905,Owens Corning Insulating Systems Canada LP,3450 McNicoll Avenue,M1V 1Z5,43.8216,-79.2591,327990,All Other Non-Metallic Mineral Product Mfg.,140,,Jacquelyn Desloges,416-412-8362,Environmental Leader,416-412-8362,,,23,Nitrogen Oxides (NOx),9928,0,0,9928,0,0,0,0
38,23905,Owens Corning Insulating Systems Canada LP,3450 McNicoll Avenue,M1V 1Z5,43.8216,-79.2591,327990,All Other Non-Metallic Mineral Product Mfg.,140,,Jacquelyn Desloges,416-412-8362,Environmental Leader,416-412-8362,,,9,"Chromium, Non-Hexavalent and its compounds",0,61239,0,40,0,0,0,0
39,23905,Owens Corning Insulating Systems Canada LP,3450 McNicoll Avenue,M1V 1Z5,43.8216,-79.2591,327990,All Other Non-Metallic Mineral Product Mfg.,140,,Jacquelyn Desloges,416-412-8362,Environmental Leader,416-412-8362,,,25,Volatile Organic Compounds (VOCs) Total,15483,10326,0,25809,0,0,0,0
40,23952,Torcad Limited,275 Norseman Street,M8Z 2R5,43.6322,-79.5279,332810,"Coating, Engraving & Heat Treating Activities",51,,Darren Webber,416-239-3928,Plant Manager,416-239-3928,,416-239-0049,24,Particulate Matter 2.5 (PM2.5),149,0,0,149,0,0,0,0
41,23952,Torcad Limited,275 Norseman Street,M8Z 2R5,43.6322,-79.5279,332810,"Coating, Engraving & Heat Treating Activities",51,,Darren Webber,416-239-3928,Plant Manager,416-239-3928,,416-239-0049,8,"Chromium, Hexavalent and its compounds",0,1456,0,0,0,0,0,0
42,23952,Torcad Limited,275 Norseman Street,M8Z 2R5,43.6322,-79.5279,332810,"Coating, Engraving & Heat Treating Activities",51,,Darren Webber,416-239-3928,Plant Manager,416-239-3928,,416-239-0049,25,Volatile Organic Compounds (VOCs) Total,0,3595,0,3595,0,0,0,0
43,23954,Acadian Platers CoLtd,315 Rexdale Blvd,M9W 1R8,43.7143,-79.5832,332810,"Coating, Engraving & Heat Treating Activities",30,,Karanjot Kang,416-743-7130,Corp Manager Quality Environment,905-564-1711,,905-564-2819,23,Nitrogen Oxides (NOx),1012,0,0,0,0,0,0,0
44,23980,Pleasant Manufacturing Co Ltd,37 Baywood Road,M9V 3Y8,43.7467,-79.606,332720,"Turned Product & Screw, Nut & Bolt Mfg.",13,,Terra Hobart,416-745-8570,Office Admin,416-745-8570,,,25,Volatile Organic Compounds (VOCs) Total,0,0,401,0,0,0,0,0
45,23990,Durapaint Industries Limited,247 Finchdene Square,M1X 1B9,43.8211,-79.2348,232990,All Other Special Trade Contracting,84,,Domenic Zarlenga,416-754-3664,Vice President,416-743-3664,,,25,Volatile Organic Compounds (VOCs) Total,140,29577,0,29698,0,0,0,0
46,24058,Deco Automotive,225 Claireville Drive,M9W 6K9,43.7458,-79.6256,332118,Stamping,566,,Hena Alam,416-674-5598,Coordinator HSE,416-674-5598,2150,,23,Nitrogen Oxides (NOx),409,0,0,409,0,0,0,0
47,42,Viasystems Toronto Inc A Member Company Of TTM Technologies Group,8150 Sheppard Avenue East,M1B 5K2,43.8027,-79.1969,334410,Semiconductor & Electronic Component Mfg.,550,,Mark Scruton,416-208-2100,Director Of EHS AMII BU,416-453-1594,,416-208-2193,23,Nitrogen Oxides (NOx),505,0,0,505,0,0,0,0
48,57,Material Sciences Corporation Continuous Colour Coat Ltd,1430 Martin Grove Road,M9W 4Y1,43.7169,-79.5826,332810,"Coating, Engraving & Heat Treating Activities",108,,Marika Toyama,416-743-7980,Environmental Engineer,416-743-7980,,416-743-5980,18,Nickel and its compounds,0,2573,0,0,0,0,0,0
49,90,Cosmetica Laboratories Inc,1960 Eglinton Ave East,M1L 2M5,43.7281,-79.2867,325620,Toilet Preparation Mfg.,500,,Jeff Adamson,416-615-2400,Senior Manager,795-796-3558,,,25,Volatile Organic Compounds (VOCs) Total,0,1439,0,1439,0,0,0,0
50,163,AEP Canada Inc,595 Coronation Drive,M1E 2K4,43.7657,-79.1622,326114,Plastic Film and Sheet Manufacturing,88,,John Gibula,416-281-6000,Plant Manager,647-436-3508,,,24,Particulate Matter 2.5 (PM2.5),911,0,0,911,0,0,0,0
51,177,The Incredible Printing Company,30 St Regis Cr N,M3J 1Z2,43.7561,-79.4853,323119,Other Printing,40,,Pauline Schwartz,416-630-5200,CFO,416-630-5200,,,25,Volatile Organic Compounds (VOCs) Total,0,0,849,376,0,0,0,0
52,192,Blanco Canada Incorporated,37 Jutland Road,M8Z 2G6,43.6277,-79.5227,326191,Plastic Plumbing Fixture Mfg.,120,,Lars Schwenteck,416-251-4733,Senior VicePresident,416-251-4733,,416-251-0217,24,Particulate Matter 2.5 (PM2.5),91,0,0,91,0,0,0,0
53,195,Vintage Hardwood Flooring,409 Evans Avenue,M8Z 1K8,43.6152,-79.5287,321211,Hardwood Veneer & Plywood Mills,75,,Phil Kavanagh,416-521-6108,Director Imports,416-521-6104,,,16,Manganese and its compounds,0,10,0,0,0,0,0,0
54,195,Vintage Hardwood Flooring,409 Evans Avenue,M8Z 1K8,43.6152,-79.5287,321211,Hardwood Veneer & Plywood Mills,75,,Phil Kavanagh,416-521-6108,Director Imports,416-521-6104,,,25,Volatile Organic Compounds (VOCs) Total,13,2101,0,2113,0,0,0,0
55,202,University Of Toronto Central Steam Plant,17 Russell Street,M5S 3B1,43.6602,-79.3979,611310,Universities,10,,Matthew White,416-978-5087,Environmental Air Compliance,416-978-5087,,,23,Nitrogen Oxides (NOx),53712,0,0,53712,0,0,0,0
56,24077,Canadian Feed Screws,80 Venture Dr,M1B 3L6,43.8064,-79.1989,332710,Machine Shops,30,,John Vasilev,416-284-8880,President,416-284-8880,,,8,"Chromium, Hexavalent and its compounds",0,62,0,0,0,0,0,0
57,24093,Progressive Anodizers Inc,41 Crockford Blvd,M1R 3B7,43.7385,-79.2878,332999,All Other Misc. Fabricated Metal Product Mfg.,60,,Philip Leal,416-751-5487,EHS Manager,416-751-5487,,,23,Nitrogen Oxides (NOx),1063,0,0,1063,0,0,0,0
58,24105,L&M Precision Products Inc.,150 Milvan Drive,M9L 1Z9,43.7573,-79.563,332720,"Turned Product & Screw, Nut & Bolt Mfg.",53,,Ed Grandy,416-741-0700,Senior Process Engineer,416-741-0700,230,416-741-5287,18,Nickel and its compounds,0,451,0,0,0,0,0,0
59,24128,Atlantic Packaging 111 Progress Avenue,111 Progress Avenue,M1P 2Y9,43.7714,-79.2764,322130,Paperboard Mills,457,,Fatima Correia,416-298-8101,Environmental Manager,416-298-5431,,416-297-2292,25,Volatile Organic Compounds (VOCs) Total,2404,0,2643,5047,0,0,0,0
60,24129,New Forest Paper Mills LP,333 Progress Avenue,M1P 2Z7,43.7745,-79.2662,322130,Paperboard Mills,94,,Fatima Correia,416-298-8101,Environmental Manager,416-298-5431,,416-297-2292,25,Volatile Organic Compounds (VOCs) Total,2703,0,1856,1591,0,0,0,0
61,24141,SAN Steel Fabricating Ltd,250 Sparks Avenue,M2H 2S4,43.8083,-79.3396,333519,Other Metalworking Machinery Mfg.,22,,Casper Hindson,416-285-7744,Plant Manager,416-285-7744,,,24,Particulate Matter 2.5 (PM2.5),506,0,0,506,0,0,0,0
62,24141,SAN Steel Fabricating Ltd,250 Sparks Avenue,M2H 2S4,43.8083,-79.3396,333519,Other Metalworking Machinery Mfg.,22,,Casper Hindson,416-285-7744,Plant Manager,416-285-7744,,,16,Manganese and its compounds,0,554,0,0,0,0,0,0
63,24147,Ontario Redimix Etobicoke,21 Goodmark Place,M9W 6P9,43.7534,-79.6166,327320,Ready-Mix Concrete Mfg.,63,,Maria Topalovic,416-213-5246,Environmental Manager,647-924-5501,,,23,Nitrogen Oxides (NOx),373,0,0,373,0,0,0,0
64,216,Club Coffee LP,65 Carrier Drive,M9W 5V9,43.7381,-79.6096,311920,Coffee & Tea Mfg.,178,,Wing Torres,416-675-1300,EHS Manager,416-675-1300,,,24,Particulate Matter 2.5 (PM2.5),11,1329,0,1340,0,0,0,0
65,225,Henry Company Canada Inc Scarborough,15 Wallsend Drive,M1E 3X6,43.7621,-79.1664,325999,All Other Misc. Chemical Product Mfg.,50,,Todd Thertell,416-724-2000,Plant Manager,647-560-7259,,,23,Nitrogen Oxides (NOx),371,0,0,371,0,0,0,0
66,225,Henry Company Canada Inc Scarborough,15 Wallsend Drive,M1E 3X6,43.7621,-79.1664,325999,All Other Misc. Chemical Product Mfg.,50,,Todd Thertell,416-724-2000,Plant Manager,647-560-7259,,,25,Volatile Organic Compounds (VOCs) Total,19,228755,0,576,0,0,0,0
67,240,Colour Innovations Print Inc,161 Norfinch Dr,M3N 1Y2,43.7655,-79.5302,323119,Other Printing,45,,Ada Geronimo,416-663-6703,Controller,416-663-6703,,,25,Volatile Organic Compounds (VOCs) Total,0,0,10888,5752,0,0,0,0
68,275,Toronto Research Chemicals,2 Brisbane Road,M3J 2J8,43.7739,-79.4707,325410,Pharmaceutical & Medicine Mfg.,150,,Andrew Karagias,416-665-9696,Corporate Project Manager,416-665-9696,,,23,Nitrogen Oxides (NOx),1700,0,0,1700,0,0,0,0
69,277,Polafemet,129 Milvan Dr,M9L 1Z8,43.7567,-79.5613,332329,Other Ornamental & Architec. Metal Prod. Mfg.,6,,Oleg Kriachkov,416-748-6983,Estimator,416-748-6983,,,18,Nickel and its compounds,0,763,0,0,0,0,0,0
70,277,Polafemet,129 Milvan Dr,M9L 1Z8,43.7567,-79.5613,332329,Other Ornamental & Architec. Metal Prod. Mfg.,6,,Oleg Kriachkov,416-748-6983,Estimator,416-748-6983,,,9,"Chromium, Non-Hexavalent and its compounds",0,1449,0,0,0,0,0,0
71,285,RPM Canada Company Tremco Canada Division,220 Wicksteed Ave,M4H 1G7,43.7133,-79.3473,325510,Paint & Coating Mfg.,225,,Nawid Bakhshi,416-467-2447,Environmental Coordinator,416-467-2447,,416-467-2452,25,Volatile Organic Compounds (VOCs) Total,981,830385,236303,12987,0,0,0,0
72,24173,Yarlmetal Fabrications Inc,40 Dynamic Drive,M1V 2W2,43.8178,-79.2482,332329,Other Ornamental & Architec. Metal Prod. Mfg.,30,,Dhimo Lad,416-297-9013,HR Coordinator,416-297-9013,,,15,Lead and its compounds,0,278,0,0,0,0,0,0
73,24173,Yarlmetal Fabrications Inc,40 Dynamic Drive,M1V 2W2,43.8178,-79.2482,332329,Other Ornamental & Architec. Metal Prod. Mfg.,30,,Dhimo Lad,416-297-9013,HR Coordinator,416-297-9013,,,8,"Chromium, Hexavalent and its compounds",0,1570,0,0,0,0,0,0
74,24185,M M Plating Inc,100 Barbados Blvd,M1J 1K9,43.7357,-79.2403,332810,"Coating, Engraving & Heat Treating Activities",28,,Jerry Mazor,416-267-5811,President,416-267-5811,,,18,Nickel and its compounds,0,164,0,33,0,0,0,0
75,24185,M M Plating Inc,100 Barbados Blvd,M1J 1K9,43.7357,-79.2403,332810,"Coating, Engraving & Heat Treating Activities",28,,Jerry Mazor,416-267-5811,President,416-267-5811,,,5,Cadmium and its compounds,0,23,0,0,0,0,0,0
76,24222,Crown Metal Packaging Canada LP Weston Plant,21 Fenmar Drive,M9L 2Y9,43.7591,-79.5359,332431,Metal Can Mfg.,190,,Maria Paula Gomez,416-741-6002,EHS Coordinator,437-318-8031,,,16,Manganese and its compounds,0,269601,0,0,0,0,0,0
77,24237,TS Tech Trimont Mfg Inc,115 Milner Avenue,M1S 4L7,43.7848,-79.248,336360,Motor Vehicle Seating and Interior Trim Mfg.,264,,Flora Ganuelas,416-640-2045,Manager HR  Admin,416-640-2045,,416-847-3935,25,Volatile Organic Compounds (VOCs) Total,0,0,14364,9503,0,0,0,0
78,302,Mondelez Canada Inc,40 Bertrand Ave,M1L 2P6,43.7344,-79.2836,311340,Non-Chocolate Confectionery Mfg.,185,,Andrew Gan,416-689-6645,HSE Manager,647-962-5906,,,24,Particulate Matter 2.5 (PM2.5),168,0,0,168,0,0,0,0
79,311,Lampshades Unlimited,2721 Markham Road,M1X 1L5,43.8205,-79.2462,337920,Blind & Shade Mfg.,6,,Mo Lo,416-299-3113,Manager,416-299-3113,,,25,Volatile Organic Compounds (VOCs) Total,0,0,524,524,0,0,0,0
80,315,Apotex Etobicoke,50 Steinway Boulevard,M9W 6Y3,43.7504,-79.6244,325410,Pharmaceutical & Medicine Mfg.,883,,Michael Taniguchi,416-675-0338,Associate Director EHS Programs,647-262-6903,,,13,Dichloromethane (Methylene chloride),0,0,3361,3361,0,0,0,0
81,321,Apotex Special Products Facility,285 Garyray Drive,M9L 1P3,43.769,-79.5394,325410,Pharmaceutical & Medicine Mfg.,24,,Michael Taniguchi,416-749-9300,Associate Director EHS Programs,647-262-6903,,,23,Nitrogen Oxides (NOx),1648,0,0,1648,0,0,0,0
82,348,Profile Industries Limited,201 Garyray Drive,M9L 2T2,43.7694,-79.5375,337214,Office Furniture (except Wood) Mfg.,135,,Harpal Banwait,416-748-2505,,416-748-2505,,,14,Formaldehyde,0,78,0,0,0,0,0,0
83,360,Molson Coors Canada,1 Carlingview Drive,M9W 5E5,43.674,-79.5897,312120,Breweries,621,,Tan Le,416-571-8917,General Manager,416-688-1898,,,23,Nitrogen Oxides (NOx),14016,0,0,14016,0,0,0,0
84,361,Walton Street Steam Plant,95 Walton Street,M5G 1H9,43.6579,-79.3855,221330,Steam & Air-Conditioning Supply,12,,Phoebe Rezkalla,416-392-6845,HS Manager,647-962-0241,,,24,Particulate Matter 2.5 (PM2.5),1492,0,0,1492,0,0,0,0
85,24261,Metaplast Circuits Limited,180 Hymus Road,M1L 2E1,43.7205,-79.2802,335990,All Other Electrical Equip. & Component Mfg.,58,,John Mikelsons,416-285-5000,VP Operations,416-285-5000,,416-755-0121,14,Formaldehyde,0,233,0,233,0,0,0,0
86,24300,Production Paint Stripping Limited,11 McLachlan Dr,M9W 1E3,43.6936,-79.5863,332810,"Coating, Engraving & Heat Treating Activities",30,,Kyle Jackson,416-675-1265,General Manager,647-462-1206,,,23,Nitrogen Oxides (NOx),1260,0,0,1260,0,0,0,0
87,24352,M  S Auto Refinishing,1293 Queen Street,M4L 1C2,43.6637,-79.3283,811121,"Automotive Body, Paint & Interior R&M",5,,Andy Marcozzi,416-461-5898,Secretary,416-651-5898,,416-461-6890,24,Particulate Matter 2.5 (PM2.5),505,0,0,25,0,0,0,0
88,362,Pearl Street Steam Plant,120 Pearl Street,M5H 1L2,43.6481,-79.386,221330,Steam & Air-Conditioning Supply,13,,Phoebe Rezkalla,416-392-6847,HS Manager,647-962-0241,,,25,Volatile Organic Compounds (VOCs) Total,5569,0,0,5569,0,0,0,0
89,363,Lincoln Electric Company Of Canada,179 Wicksteed Avenue,M4G 2B9,43.712,-79.3547,332999,All Other Misc. Fabricated Metal Product Mfg.,247,,Rick Ash,416-421-2600,Operations Manager,416-421-2600,,,16,Manganese and its compounds,0,189032,0,77,0,0,0,0
90,371,Coca-Cola Canada Bottling Limited,24 Fenmar Drive,M9L 1L8,43.759,-79.5366,312110,Soft Drink & Ice Mfg.,140,,Hassan Jalilian,416-749-0440,Continuous ImprovementSpecialist,437-429-5359,,,25,Volatile Organic Compounds (VOCs) Total,323,928,0,1251,0,0,0,0
91,415,Primo Foods Inc,56 Huxley Road,M9M 1H2,43.7233,-79.5281,311823,Dry Pasta Mfg.,78,,Matthew Farias,416-741-9300,Plant Manager,416-741-9300,,416-741-3766,23,Nitrogen Oxides (NOx),2654,0,0,2654,0,0,0,0
92,417,Mondelez Canada Inc Scarborough Bakery,370 Progress Avenue,M1P 2Z4,43.775,-79.2647,311821,Cookie & Cracker Mfg.,251,,Dolly Lakshman,416-291-3713,Environmental Manager,647-802-5552,,,25,Volatile Organic Compounds (VOCs) Total,105,720,0,471,0,0,0,0
93,24387,The University Of Toronto Medical Sciences Building,1 King's College Circle,M5S 1A8,43.6611,-79.3944,611310,Universities,469,,Matthew White,416-978-4467,Enviro Compliance  Safety Tech,416-978-5087,,,25,Volatile Organic Compounds (VOCs) Total,0,0,8575,1715,0,0,0,0
94,24394,University Of Toronto Scarborough Science Wing,1265 Military Trail,M1C 1A4,43.785,-79.1852,611310,Universities,569,,Matthew White,416-208-5141,Enviro Compliance  Safety Tech,416-978-5087,,,23,Nitrogen Oxides (NOx),8450,0,0,8450,0,0,0,0
95,24509,Questa Design Limited,1305 Morningside Avenue,M1B 4Z5,43.8049,-79.2007,332710,Machine Shops,12,,Aki Hirano,416-281-0502,Vice President,416-281-0502,,,16,Manganese and its compounds,0,10,0,0,0,0,0,0
